date,value
1970-01-01,37.500
1970-02-01,37.700
1970-03-01,37.700
1970-04-01,37.700
1970-05-01,37.900
1970-06-01,38.000
1970-07-01,37.200
1970-08-01,37.400
1970-09-01,38.200
1970-10-01,38.300
1970-11-01,37.700
1970-12-01,37.800
1971-01-01,36.900
1971-02-01,37.700
1971-03-01,38.500
1971-04-01,39.400
1971-05-01,39.500
1971-06-01,40.000
1971-07-01,40.100
1971-08-01,40.200
1971-09-01,40.000
1971-10-01,40.200
1971-11-01,40.600
1971-12-01,42.600
1972-01-01,40.900
1972-02-01,41.500
1972-03-01,40.300
1972-04-01,40.000
1972-05-01,40.400
1972-06-01,40.700
1972-07-01,41.000
1972-08-01,41.700
1972-09-01,43.100
1972-10-01,43.400
1972-11-01,43.600
1972-12-01,43.700
1973-01-01,44.200
1973-02-01,44.500
1973-03-01,45.400
1973-04-01,46.300
1973-05-01,47.100
1973-06-01,48.400
1973-07-01,49.100
1973-08-01,49.600
1973-09-01,47.100
1973-10-01,48.300
1973-11-01,49.500
1973-12-01,49.900
1974-01-01,50.600
1974-02-01,52.000
1974-03-01,53.800
1974-04-01,53.300
1974-05-01,57.800
1974-06-01,58.400
1974-07-01,57.200
1974-08-01,54.800
1974-09-01,55.900
1974-10-01,56.400
1974-11-01,56.700
1974-12-01,55.500
1975-01-01,55.400
1975-02-01,55.600
1975-03-01,55.200
1975-04-01,54.600
1975-05-01,55.000
1975-06-01,56.600
1975-07-01,60.200
1975-08-01,58.100
1975-09-01,58.000
1975-10-01,57.400
1975-11-01,58.100
1975-12-01,59.400
1976-01-01,58.600
1976-02-01,57.700
1976-03-01,57.300
1976-04-01,58.400
1976-05-01,57.500
1976-06-01,56.600
1976-07-01,56.800
1976-08-01,58.200
1976-09-01,58.800
1976-10-01,60.500
1976-11-01,60.200
1976-12-01,60.200
1977-01-01,59.900
1977-02-01,64.800
1977-03-01,65.100
1977-04-01,66.400
1977-05-01,63.700
1977-06-01,63.400
1977-07-01,62.600
1977-08-01,62.700
1977-09-01,62.600
1977-10-01,63.000
1977-11-01,65.000
1977-12-01,66.000
1978-01-01,66.100
1978-02-01,66.300
1978-03-01,67.500
1978-04-01,69.300
1978-05-01,72.000
1978-06-01,72.300
1978-07-01,73.100
1978-08-01,72.400
1978-09-01,73.400
1978-10-01,73.600
1978-11-01,72.600
1978-12-01,71.900
1979-01-01,74.800
1979-02-01,75.500
1979-03-01,74.900
1979-04-01,74.000
1979-05-01,74.000
1979-06-01,75.800
1979-07-01,77.200
1979-08-01,77.700
1979-09-01,78.000
1979-10-01,78.700
1979-11-01,79.300
1979-12-01,79.300
1980-01-01,77.700
1980-02-01,76.500
1980-03-01,77.000
1980-04-01,79.100
1980-05-01,80.900
1980-06-01,81.100
1980-07-01,82.100
1980-08-01,84.300
1980-09-01,86.100
1980-10-01,86.300
1980-11-01,87.400
1980-12-01,87.700
1981-01-01,86.900
1981-02-01,88.300
1981-03-01,92.500
1981-04-01,92.700
1981-05-01,90.900
1981-06-01,90.800
1981-07-01,92.300
1981-08-01,93.400
1981-09-01,94.000
1981-10-01,93.400
1981-11-01,94.100
1981-12-01,95.400
1982-01-01,98.100
1982-02-01,100.300
1982-03-01,96.600
1982-04-01,96.100
1982-05-01,97.200
1982-06-01,100.300
1982-07-01,97.800
1982-08-01,95.600
1982-09-01,95.000
1982-10-01,95.400
1982-11-01,95.700
1982-12-01,95.800
1983-01-01,92.300
1983-02-01,91.500
1983-03-01,94.800
1983-04-01,96.400
1983-05-01,97.200
1983-06-01,98.100
1983-07-01,97.800
1983-08-01,98.400
1983-09-01,99.900
1983-10-01,101.100
1983-11-01,100.000
1983-12-01,100.600
1984-01-01,103.600
1984-02-01,104.900
1984-03-01,107.200
1984-04-01,103.200
1984-05-01,101.400
1984-06-01,104.600
1984-07-01,105.000
1984-08-01,107.900
1984-09-01,107.300
1984-10-01,107.900
1984-11-01,108.500
1984-12-01,106.900
1985-01-01,106.900
1985-02-01,108.900
1985-03-01,110.400
1985-04-01,109.000
1985-05-01,107.200
1985-06-01,108.400
1985-07-01,108.300
1985-08-01,107.700
1985-09-01,107.600
1985-10-01,107.300
1985-11-01,107.900
1985-12-01,111.800
1986-01-01,110.400
1986-02-01,105.300
1986-03-01,105.900
1986-04-01,107.800
1986-05-01,110.100
1986-06-01,108.400
1986-07-01,109.300
1986-08-01,111.100
1986-09-01,111.000
1986-10-01,111.600
1986-11-01,112.600
1986-12-01,112.400
1987-01-01,112.900
1987-02-01,115.300
1987-03-01,116.700
1987-04-01,117.300
1987-05-01,118.800
1987-06-01,122.400
1987-07-01,119.100
1987-08-01,118.800
1987-09-01,119.800
1987-10-01,120.700
1987-11-01,121.000
1987-12-01,126.500
1988-01-01,126.900
1988-02-01,124.400
1988-03-01,122.800
1988-04-01,124.500
1988-05-01,124.600
1988-06-01,124.600
1988-07-01,128.900
1988-08-01,130.000
1988-09-01,132.900
1988-10-01,132.400
1988-11-01,132.200
1988-12-01,133.900
1989-01-01,131.900
1989-02-01,134.500
1989-03-01,134.300
1989-04-01,135.200
1989-05-01,139.200
1989-06-01,139.200
1989-07-01,140.000
1989-08-01,141.100
1989-09-01,139.500
1989-10-01,141.200
1989-11-01,141.700
1989-12-01,139.400
1990-01-01,149.000
1990-02-01,154.200
1990-03-01,151.500
1990-04-01,145.600
1990-05-01,144.700
1990-06-01,146.900
1990-07-01,149.900
1990-08-01,149.000
1990-09-01,148.800
1990-10-01,149.100
1990-11-01,150.300
1990-12-01,148.300
1991-01-01,151.700
1991-02-01,151.900
1991-03-01,153.200
1991-04-01,158.400
1991-05-01,160.400
1991-06-01,167.500
1991-07-01,158.700
1991-08-01,152.600
1991-09-01,153.500
1991-10-01,150.700
1991-11-01,154.700
1991-12-01,154.500
1992-01-01,149.600
1992-02-01,154.300
1992-03-01,158.000
1992-04-01,156.900
1992-05-01,153.100
1992-06-01,153.300
1992-07-01,151.100
1992-08-01,157.300
1992-09-01,159.500
1992-10-01,158.400
1992-11-01,156.700
1992-12-01,155.800
1993-01-01,156.200
1993-02-01,157.800
1993-03-01,155.000
1993-04-01,156.200
1993-05-01,163.100
1993-06-01,156.200
1993-07-01,153.600
1993-08-01,157.600
1993-09-01,159.800
1993-10-01,162.200
1993-11-01,162.500
