date,value
1970-01-01,46.000
1970-02-01,46.300
1970-03-01,46.500
1970-04-01,46.500
1970-05-01,46.700
1970-06-01,46.800
1970-07-01,46.800
1970-08-01,47.000
1970-09-01,47.100
1970-10-01,47.300
1970-11-01,47.500
1970-12-01,47.600
1971-01-01,47.700
1971-02-01,47.800
1971-03-01,47.900
1971-04-01,48.100
1971-05-01,48.500
1971-06-01,48.700
1971-07-01,48.800
1971-08-01,49.000
1971-09-01,49.000
1971-10-01,49.100
1971-11-01,49.100
1971-12-01,49.200
1972-01-01,49.200
1972-02-01,49.200
1972-03-01,49.400
1972-04-01,49.400
1972-05-01,49.600
1972-06-01,49.600
1972-07-01,49.700
1972-08-01,49.800
1972-09-01,49.900
1972-10-01,49.900
1972-11-01,50.000
1972-12-01,50.200
1973-01-01,50.200
1973-02-01,50.300
1973-03-01,50.400
1973-04-01,50.600
1973-05-01,50.700
1973-06-01,51.000
1973-07-01,51.100
1973-08-01,51.300
1973-09-01,51.500
1973-10-01,51.700
1973-11-01,52.000
1973-12-01,52.200
1974-01-01,52.700
1974-02-01,53.100
1974-03-01,53.900
1974-04-01,54.400
1974-05-01,55.500
1974-06-01,56.300
1974-07-01,57.100
1974-08-01,58.100
1974-09-01,59.000
1974-10-01,59.800
1974-11-01,60.600
1974-12-01,61.200
1975-01-01,61.600
1975-02-01,62.100
1975-03-01,62.400
1975-04-01,62.800
1975-05-01,63.100
1975-06-01,63.400
1975-07-01,63.600
1975-08-01,63.800
1975-09-01,64.100
1975-10-01,64.400
1975-11-01,64.600
1975-12-01,64.800
1976-01-01,65.700
1976-02-01,66.100
1976-03-01,66.500
1976-04-01,66.700
1976-05-01,66.800
1976-06-01,67.100
1976-07-01,67.400
1976-08-01,67.600
1976-09-01,67.800
1976-10-01,68.100
1976-11-01,68.400
1976-12-01,68.600
1977-01-01,68.900
1977-02-01,69.200
1977-03-01,69.400
1977-04-01,69.500
1977-05-01,69.800
1977-06-01,70.200
1977-07-01,70.500
1977-08-01,70.800
1977-09-01,71.000
1977-10-01,71.300
1977-11-01,71.500
1977-12-01,71.900
1978-01-01,72.200
1978-02-01,72.300
1978-03-01,72.800
1978-04-01,73.300
1978-05-01,73.800
1978-06-01,74.400
1978-07-01,74.800
1978-08-01,75.300
1978-09-01,75.800
1978-10-01,76.400
1978-11-01,76.900
1978-12-01,77.400
1979-01-01,77.900
1979-02-01,78.200
1979-03-01,78.600
1979-04-01,79.000
1979-05-01,79.300
1979-06-01,79.700
