date,value
1947-04-01,-1.05668
1947-07-01,-0.81700
1947-10-01,6.41263
1948-01-01,6.16161
1948-04-01,6.77514
1948-07-01,2.31795
1948-10-01,0.45392
1949-01-01,-5.39379
1949-04-01,-1.35172
1949-07-01,4.20035
1949-10-01,-3.30934
1950-01-01,16.67878
1950-04-01,12.77366
1950-07-01,16.37991
1950-10-01,7.88267
1951-01-01,5.54347
1951-04-01,7.11064
1951-07-01,8.49808
1951-10-01,0.87870
1952-01-01,4.33649
1952-04-01,0.85996
1952-07-01,2.91628
1952-10-01,13.79712
1953-01-01,7.64610
1953-04-01,3.12841
1953-07-01,-2.23115
1953-10-01,-5.91878
1954-01-01,-1.89664
1954-04-01,0.43837
1954-07-01,4.59591
1954-10-01,8.06065
1955-01-01,11.92538
1955-04-01,6.67085
1955-07-01,5.51376
1955-10-01,2.42440
1956-01-01,-1.54316
1956-04-01,3.34752
1956-07-01,-0.35833
1956-10-01,6.74798
1957-01-01,2.58577
1957-04-01,-0.87368
1957-07-01,3.97768
1957-10-01,-4.07438
1958-01-01,-9.98624
1958-04-01,2.65360
1958-07-01,9.57845
1958-10-01,9.68610
1959-01-01,7.89728
1959-04-01,9.32301
1959-07-01,0.27920
1959-10-01,1.14480
1960-01-01,9.30246
1960-04-01,-2.13610
1960-07-01,1.97417
1960-10-01,-5.03458
1961-01-01,2.72753
1961-04-01,6.96635
1961-07-01,7.90558
1961-10-01,8.08060
1962-01-01,7.32782
1962-04-01,3.66843
1962-07-01,5.00972
1962-10-01,1.32413
1963-01-01,4.44044
1963-04-01,4.56581
1963-07-01,9.08969
1963-10-01,2.64954
1964-01-01,8.70543
1964-04-01,4.42796
1964-07-01,6.39844
1964-10-01,1.24251
1965-01-01,10.03669
1965-04-01,5.15047
1965-07-01,9.19361
1965-10-01,9.53900
1966-01-01,10.09656
1966-04-01,1.37289
1966-07-01,3.43060
1966-10-01,3.32222
1967-01-01,3.59053
1967-04-01,0.24563
1967-07-01,3.83835
1967-10-01,3.04968
1968-01-01,8.41001
1968-04-01,6.85077
1968-07-01,3.13425
1968-10-01,1.58038
1969-01-01,6.40611
1969-04-01,1.21895
1969-07-01,2.66606
1969-10-01,-1.93858
1970-01-01,-0.59424
1970-04-01,0.56808
1970-07-01,3.73713
1970-10-01,-4.21789
1971-01-01,11.31531
1971-04-01,2.18088
1971-07-01,3.33060
1971-10-01,0.94277
1972-01-01,7.55388
1972-04-01,9.39083
1972-07-01,3.83017
1972-10-01,6.86785
1973-01-01,10.27339
1973-04-01,4.42661
1973-07-01,-2.08682
1973-10-01,3.85133
1974-01-01,-3.39473
1974-04-01,0.95418
1974-07-01,-3.72783
1974-10-01,-1.54459
1975-01-01,-4.78230
1975-04-01,2.88960
1975-07-01,7.02606
1975-10-01,5.49823
1976-01-01,9.30606
1976-04-01,2.96592
1976-07-01,2.20768
1976-10-01,2.92189
1977-01-01,4.83003
1977-04-01,7.99690
1977-07-01,7.41010
1977-10-01,0.00797
1978-01-01,1.28552
1978-04-01,16.37859
1978-07-01,4.08409
1978-10-01,5.48588
1979-01-01,0.72031
1979-04-01,0.42767
1979-07-01,3.00449
1979-10-01,1.00394
1980-01-01,1.26423
1980-04-01,-7.99050
1980-07-01,-0.47457
1980-10-01,7.67098
1981-01-01,8.07107
1981-04-01,-2.93151
1981-07-01,4.87674
1981-10-01,-4.28767
1982-01-01,-6.07124
1982-04-01,1.83723
1982-07-01,-1.52032
1982-10-01,0.16013
1983-01-01,5.37627
1983-04-01,9.41750
1983-07-01,8.23878
1983-10-01,8.60951
1984-01-01,8.05144
1984-04-01,7.09223
1984-07-01,3.91216
1984-10-01,3.32373
1985-01-01,3.93262
1985-04-01,3.56868
1985-07-01,6.25047
1985-10-01,3.00712
1986-01-01,3.78763
1986-04-01,1.81339
1986-07-01,3.88194
1986-10-01,2.16290
1987-01-01,3.00056
1987-04-01,4.38296
1987-07-01,3.51409
1987-10-01,7.04674
1988-01-01,2.08362
1988-04-01,5.36064
1988-07-01,2.36456
1988-10-01,5.43730
1989-01-01,4.12798
1989-04-01,3.08752
1989-07-01,2.99603
1989-10-01,0.79026
1990-01-01,4.44372
1990-04-01,1.45980
1990-07-01,0.26659
1990-10-01,-3.59219
1991-01-01,-1.85867
1991-04-01,3.15542
1991-07-01,2.03681
1991-10-01,1.40149
1992-01-01,4.87570
1992-04-01,4.40827
1992-07-01,4.01141
