date,value
1970-01-01,3485
1970-02-01,3497
1970-03-01,3512
1970-04-01,3519
1970-05-01,3525
1970-06-01,3528
1970-07-01,3534
1970-08-01,3538
1970-09-01,3548
1970-10-01,3556
1970-11-01,3568
1970-12-01,3579
1971-01-01,3591
1971-02-01,3599
1971-03-01,3607
1971-04-01,3620
1971-05-01,3632
1971-06-01,3652
1971-07-01,3658
1971-08-01,3666
1971-09-01,3679
1971-10-01,3690
1971-11-01,3704
1971-12-01,3716
1972-01-01,3723
1972-02-01,3730
1972-03-01,3740
1972-04-01,3753
1972-05-01,3765
1972-06-01,3791
1972-07-01,3790
1972-08-01,3801
1972-09-01,3810
1972-10-01,3821
1972-11-01,3832
1972-12-01,3842
1973-01-01,3852
1973-02-01,3874
1973-03-01,3888
1973-04-01,3897
1973-05-01,3909
1973-06-01,3918
1973-07-01,3929
1973-08-01,3939
1973-09-01,3946
1973-10-01,3947
1973-11-01,3963
1973-12-01,3972
1974-01-01,3986
1974-02-01,4004
1974-03-01,4006
1974-04-01,4012
1974-05-01,4022
1974-06-01,4030
1974-07-01,4034
1974-08-01,4035
1974-09-01,4036
1974-10-01,4038
1974-11-01,4038
1974-12-01,4036
1975-01-01,4031
1975-02-01,4026
1975-03-01,4024
1975-04-01,4027
1975-05-01,4032
1975-06-01,4031
1975-07-01,4042
1975-08-01,4052
1975-09-01,4062
1975-10-01,4072
1975-11-01,4076
1975-12-01,4090
1976-01-01,4096
1976-02-01,4105
1976-03-01,4115
1976-04-01,4127
1976-05-01,4136
1976-06-01,4146
1976-07-01,4155
1976-08-01,4160
1976-09-01,4184
1976-10-01,4199
1976-11-01,4213
1976-12-01,4229
1977-01-01,4247
1977-02-01,4260
1977-03-01,4285
1977-04-01,4304
1977-05-01,4318
1977-06-01,4333
1977-07-01,4349
1977-08-01,4368
1977-09-01,4394
1977-10-01,4416
1977-11-01,4441
1977-12-01,4461
1978-01-01,4476
1978-02-01,4506
1978-03-01,4527
1978-04-01,4547
1978-05-01,4566
1978-06-01,4592
1978-07-01,4615
1978-08-01,4633
1978-09-01,4650
1978-10-01,4665
1978-11-01,4697
1978-12-01,4717
1979-01-01,4738
1979-02-01,4757
1979-03-01,4776
1979-04-01,4796
1979-05-01,4821
1979-06-01,4840
1979-07-01,4856
1979-08-01,4885
1979-09-01,4884
1979-10-01,4903
1979-11-01,4920
1979-12-01,4933
1980-01-01,4956
1980-02-01,4969
1980-03-01,4987
1980-04-01,4993
1980-05-01,5004
1980-06-01,5016
1980-07-01,5027
1980-08-01,5039
1980-09-01,5051
1980-10-01,5071
1980-11-01,5085
1980-12-01,5100
1981-01-01,5116
1981-02-01,5128
1981-03-01,5137
1981-04-01,5151
1981-05-01,5160
1981-06-01,5163
1981-07-01,5174
1981-08-01,5181
1981-09-01,5184
1981-10-01,5183
1981-11-01,5184
1981-12-01,5188
1982-01-01,5190
1982-02-01,5192
1982-03-01,5199
1982-04-01,5198
1982-05-01,5202
1982-06-01,5209
1982-07-01,5211
1982-08-01,5211
1982-09-01,5216
1982-10-01,5217
1982-11-01,5224
1982-12-01,5229
1983-01-01,5242
1983-02-01,5256
1983-03-01,5267
1983-04-01,5289
1983-05-01,5302
1983-06-01,5313
1983-07-01,5340
1983-08-01,5362
1983-09-01,5387
1983-10-01,5397
1983-11-01,5416
1983-12-01,5436
1984-01-01,5452
1984-02-01,5472
1984-03-01,5492
1984-04-01,5503
1984-05-01,5522
1984-06-01,5540
1984-07-01,5556
1984-08-01,5574
1984-09-01,5595
1984-10-01,5620
1984-11-01,5641
1984-12-01,5661
1985-01-01,5684
1985-02-01,5705
1985-03-01,5730
1985-04-01,5751
1985-05-01,5775
1985-06-01,5796
1985-07-01,5818
1985-08-01,5845
1985-09-01,5874
1985-10-01,5902
1985-11-01,5935
1985-12-01,5959
1986-01-01,5977
1986-02-01,6010
1986-03-01,6036
1986-04-01,6066
1986-05-01,6091
1986-06-01,6118
1986-07-01,6149
1986-08-01,6173
1986-09-01,6197
1986-10-01,6215
1986-11-01,6236
1986-12-01,6264
1987-01-01,6282
1987-02-01,6303
1987-03-01,6327
1987-04-01,6358
1987-05-01,6376
1987-06-01,6388
1987-07-01,6408
1987-08-01,6419
1987-09-01,6427
1987-10-01,6442
1987-11-01,6441
1987-12-01,6451
1988-01-01,6466
1988-02-01,6472
1988-03-01,6483
1988-04-01,6489
1988-05-01,6490
1988-06-01,6499
1988-07-01,6507
1988-08-01,6505
1988-09-01,6509
1988-10-01,6517
1988-11-01,6526
1988-12-01,6533
1989-01-01,6529
1989-02-01,6542
1989-03-01,6547
1989-04-01,6549
1989-05-01,6554
1989-06-01,6560
1989-07-01,6567
1989-08-01,6571
1989-09-01,6577
1989-10-01,6576
1989-11-01,6584
1989-12-01,6585
1990-01-01,6585
1990-02-01,6599
1990-03-01,6601
1990-04-01,6611
1990-05-01,6616
1990-06-01,6626
1990-07-01,6631
1990-08-01,6633
1990-09-01,6628
1990-10-01,6623
1990-11-01,6614
1990-12-01,6602
1991-01-01,6611
1991-02-01,6601
1991-03-01,6602
1991-04-01,6583
1991-05-01,6566
1991-06-01,6560
1991-07-01,6548
1991-08-01,6542
1991-09-01,6534
1991-10-01,6532
1991-11-01,6533
1991-12-01,6529
1992-01-01,6520
1992-02-01,6524
1992-03-01,6523
1992-04-01,6534
1992-05-01,6545
1992-06-01,6554
1992-07-01,6552
1992-08-01,6564
1992-09-01,6580
1992-10-01,6588
1992-11-01,6600
1992-12-01,6617
1993-01-01,6634
1993-02-01,6646
1993-03-01,6655
1993-04-01,6680
1993-05-01,6703
1993-06-01,6724
1993-07-01,6751
1993-08-01,6770
1993-09-01,6796
1993-10-01,6819
1993-11-01,6846
1993-12-01,6869
1994-01-01,6889
1994-02-01,6910
1994-03-01,6930
1994-04-01,6936
1994-05-01,6928
1994-06-01,6929
1994-07-01,6925
1994-08-01,6920
1994-09-01,6906
1994-10-01,6889
1994-11-01,6878
1994-12-01,6868
1995-01-01,6858
1995-02-01,6850
1995-03-01,6854
1995-04-01,6846
1995-05-01,6845
1995-06-01,6847
1995-07-01,6854
1995-08-01,6864
1995-09-01,6877
1995-10-01,6887
1995-11-01,6903
1995-12-01,6911
1996-01-01,6922
1996-02-01,6944
1996-03-01,6952
1996-04-01,6967
1996-05-01,6990
1996-06-01,7012
1996-07-01,7033
1996-08-01,7048
1996-09-01,7066
1996-10-01,7079
1996-11-01,7097
1996-12-01,7111
1997-01-01,7126
1997-02-01,7144
1997-03-01,7164
1997-04-01,7194
1997-05-01,7215
1997-06-01,7230
1997-07-01,7266
1997-08-01,7291
1997-09-01,7313
1997-10-01,7343
1997-11-01,7370
1997-12-01,7400
1998-01-01,7425
1998-02-01,7450
1998-03-01,7485
1998-04-01,7508
1998-05-01,7535
1998-06-01,7561
1998-07-01,7594
1998-08-01,7605
1998-09-01,7624
1998-10-01,7647
1998-11-01,7664
1998-12-01,7682
1999-01-01,7706
1999-02-01,7714
1999-03-01,7722
1999-04-01,7735
1999-05-01,7746
1999-06-01,7762
1999-07-01,7780
1999-08-01,7778
1999-09-01,7771
1999-10-01,7770
1999-11-01,7773
1999-12-01,7775
2000-01-01,7769
2000-02-01,7772
2000-03-01,7767
2000-04-01,7763
2000-05-01,7762
2000-06-01,7763
2000-07-01,7766
2000-08-01,7777
2000-09-01,7798
2000-10-01,7809
2000-11-01,7823
2000-12-01,7838
2001-01-01,7845
2001-02-01,7868
2001-03-01,7885
2001-04-01,7888
2001-05-01,7899
2001-06-01,7904
2001-07-01,7891
2001-08-01,7916
2001-09-01,7916
2001-10-01,7925
2001-11-01,7940
2001-12-01,7934
2002-01-01,7939
2002-02-01,7931
2002-03-01,7929
2002-04-01,7935
2002-05-01,7933
2002-06-01,7938
2002-07-01,7942
2002-08-01,7950
2002-09-01,7965
2002-10-01,7991
2002-11-01,8003
2002-12-01,8017
2003-01-01,8025
2003-02-01,8037
2003-03-01,8051
2003-04-01,8076
2003-05-01,8093
2003-06-01,8089
2003-07-01,8101
2003-08-01,8102
2003-09-01,8100
2003-10-01,8090
2003-11-01,8083
2003-12-01,8076
2004-01-01,8078
2004-02-01,8078
2004-03-01,8085
2004-04-01,8097
2004-05-01,8115
2004-06-01,8116
2004-07-01,8099
2004-08-01,8107
2004-09-01,8120
2004-10-01,8115
2004-11-01,8117
2004-12-01,8133
2005-01-01,8143
2005-02-01,8146
2005-03-01,8139
2005-04-01,8150
2005-05-01,8154
2005-06-01,8172
2005-07-01,8191
2005-08-01,8215
2005-09-01,8224
2005-10-01,8259
2005-11-01,8281
2005-12-01,8284
2006-01-01,8305
2006-02-01,8333
2006-03-01,8350
2006-04-01,8372
2006-05-01,8376
2006-06-01,8364
2006-07-01,8366
2006-08-01,8373
2006-09-01,8389
2006-10-01,8384
2006-11-01,8392
2006-12-01,8391
2007-01-01,8388
2007-02-01,8391
2007-03-01,8381
2007-04-01,8362
2007-05-01,8371
2007-06-01,8368
2007-07-01,8370
2007-08-01,8342
2007-09-01,8319
2007-10-01,8306
2007-11-01,8291
2007-12-01,8280
2008-01-01,8276
2008-02-01,8269
2008-03-01,8268
2008-04-01,8258
2008-05-01,8249
2008-06-01,8236
2008-07-01,8219
2008-08-01,8205
2008-09-01,8173
2008-10-01,8139
2008-11-01,8100
2008-12-01,8067
2009-01-01,8017
2009-02-01,7969
2009-03-01,7927
2009-04-01,7872
2009-05-01,7844
2009-06-01,7819
2009-07-01,7805
2009-08-01,7780
2009-09-01,7770
2009-10-01,7751
2009-11-01,7756
2009-12-01,7744
2010-01-01,7733
2010-02-01,7725
2010-03-01,7708
2010-04-01,7711
2010-05-01,7699
2010-06-01,7687
2010-07-01,7676
2010-08-01,7675
2010-09-01,7682
2010-10-01,7683
2010-11-01,7680
2010-12-01,7684
2011-01-01,7680
2011-02-01,7676
2011-03-01,7681
2011-04-01,7680
2011-05-01,7702
2011-06-01,7690
2011-07-01,7693
2011-08-01,7697
2011-09-01,7695
2011-10-01,7708
2011-11-01,7721
2011-12-01,7729
2012-01-01,7735
2012-02-01,7744
2012-03-01,7767
2012-04-01,7771
2012-05-01,7782
2012-06-01,7781
2012-07-01,7778
2012-08-01,7787
2012-09-01,7800
2012-10-01,7809
2012-11-01,7816
2012-12-01,7829
2013-01-01,7837
2013-02-01,7851
2013-03-01,7856
2013-04-01,7872
2013-05-01,7883
2013-06-01,7887
2013-07-01,7904
2013-08-01,7902
2013-09-01,7903
2013-10-01,7912
2013-11-01,7911
2013-12-01,7916
2014-01-01,7913
2014-02-01,7932
2014-03-01,7932
2014-04-01,7944
2014-05-01,7951
2014-06-01,7965
2014-07-01,7980
2014-08-01,7994
2014-09-01,8009
2014-10-01,8018
2014-11-01,8036
2014-12-01,8042
2015-01-01,8059
2015-02-01,8070
2015-03-01,8081
2015-04-01,8086
2015-05-01,8097
2015-06-01,8115
2015-07-01,8134
2015-08-01,8145
2015-09-01,8152
2015-10-01,8167
2015-11-01,8182
2015-12-01,8189
2016-01-01,8207
2016-02-01,8210
2016-03-01,8226
2016-04-01,8249
2016-05-01,8265
2016-06-01,8281
2016-07-01,8304
2016-08-01,8320
2016-09-01,8327
2016-10-01,8333
2016-11-01,8344
2016-12-01,8370
2017-01-01,8397
2017-02-01,8400
2017-03-01,8407
2017-04-01,8424
2017-05-01,8436
2017-06-01,8452
2017-07-01,8465
2017-08-01,8476
2017-09-01,8479
2017-10-01,8482
2017-11-01,8490
2017-12-01,8496
2018-01-01,8503
2018-02-01,8527
2018-03-01,8538
2018-04-01,8546
2018-05-01,8572
2018-06-01,8590
2018-07-01,8600
2018-08-01,8612
2018-09-01,8629
2018-10-01,8643
2018-11-01,8651
2018-12-01,8661
2019-01-01,8671
2019-02-01,8683
2019-03-01,8705
2019-04-01,8723
2019-05-01,8736
2019-06-01,8749
2019-07-01,8770
2019-08-01,8787
2019-09-01,8785
2019-10-01,8801
2019-11-01,8814
2019-12-01,8823
2020-01-01,8833
2020-02-01,8871
2020-03-01,8855
2020-04-01,8590
2020-05-01,8607
2020-06-01,8622
2020-07-01,8623
2020-08-01,8647
2020-09-01,8674
2020-10-01,8692
2020-11-01,8704
2020-12-01,8718
2021-01-01,8729
2021-02-01,8727
2021-03-01,8738
2021-04-01,8755
2021-05-01,8762
2021-06-01,8769
2021-07-01,8803
2021-08-01,8821
2021-09-01,8847
2021-10-01,8877
2021-11-01,8908
2021-12-01,8934
2022-01-01,8935
2022-02-01,8985
2022-03-01,9004
2022-04-01,9043
2022-05-01,9051
2022-06-01,9059
2022-07-01,9072
2022-08-01,9088
2022-09-01,9093
2022-10-01,9119
2022-11-01,9132
2022-12-01,9141
2023-01-01,9144
2023-02-01,9156
2023-03-01,9152
2023-04-01,9182
2023-05-01,9179
2023-06-01,9183
2023-07-01,9192
2023-08-01,9190
2023-09-01,9182
2023-10-01,9174
2023-11-01,9171
2023-12-01,9176
2024-01-01,9165
2024-02-01,9155
2024-03-01,9152
2024-04-01,9152
2024-05-01,9159
2024-06-01,9167
2024-07-01,9164
2024-08-01,9170
2024-09-01,9175
2024-10-01,9178
2024-11-01,9194
2024-12-01,9206
2025-01-01,9220
2025-02-01,9235
2025-03-01,9238
2025-04-01,9243
2025-05-01,9250
2025-06-01,9244
2025-07-01,9245
2025-08-01,9230
2025-09-01,9236
2025-10-01,9233
2025-11-01,9231
