date,value
1970-01-01,12496
1970-02-01,12518
1970-03-01,12603
1970-04-01,12705
1970-05-01,12668
1970-06-01,12667
1970-07-01,12697
1970-08-01,12711
1970-09-01,12741
1970-10-01,12793
1970-11-01,12830
1970-12-01,12845
1971-01-01,12878
1971-02-01,12877
1971-03-01,12908
1971-04-01,12945
1971-05-01,12970
1971-06-01,13008
1971-07-01,13011
1971-08-01,13041
1971-09-01,13068
1971-10-01,13115
1971-11-01,13148
1971-12-01,13190
1972-01-01,13266
1972-02-01,13298
1972-03-01,13329
1972-04-01,13358
1972-05-01,13416
1972-06-01,13405
1972-07-01,13482
1972-08-01,13530
1972-09-01,13575
1972-10-01,13606
1972-11-01,13643
1972-12-01,13684
1973-01-01,13690
1973-02-01,13711
1973-03-01,13745
1973-04-01,13777
1973-05-01,13817
1973-06-01,13872
1973-07-01,13865
1973-08-01,13904
1973-09-01,13892
1973-10-01,13977
1973-11-01,14035
1973-12-01,14070
1974-01-01,14090
1974-02-01,14135
1974-03-01,14152
1974-04-01,14191
1974-05-01,14221
1974-06-01,14239
1974-07-01,14288
1974-08-01,14328
1974-09-01,14422
1974-10-01,14484
1974-11-01,14532
1974-12-01,14559
1975-01-01,14624
1975-02-01,14747
1975-03-01,14754
1975-04-01,14795
1975-05-01,14827
1975-06-01,14784
1975-07-01,14861
1975-08-01,14870
1975-09-01,14824
1975-10-01,14900
1975-11-01,14903
1975-12-01,14946
1976-01-01,14969
1976-02-01,14981
1976-03-01,14987
1976-04-01,14985
1976-05-01,14971
1976-06-01,14963
1976-07-01,14993
1976-08-01,15007
1976-09-01,14971
1976-10-01,15028
1976-11-01,15073
1976-12-01,15075
1977-01-01,15056
1977-02-01,15056
1977-03-01,15050
1977-04-01,15075
1977-05-01,15132
1977-06-01,15207
1977-07-01,15299
1977-08-01,15328
1977-09-01,15403
1977-10-01,15463
1977-11-01,15515
1977-12-01,15538
1978-01-01,15611
1978-02-01,15671
1978-03-01,15731
1978-04-01,15797
1978-05-01,15834
1978-06-01,15852
1978-07-01,15901
1978-08-01,15891
1978-09-01,15819
1978-10-01,15858
1978-11-01,15894
1978-12-01,15911
1979-01-01,15937
1979-02-01,15947
1979-03-01,15956
1979-04-01,15977
1979-05-01,15990
1979-06-01,16045
1979-07-01,16150
1979-08-01,16229
1979-09-01,16128
1979-10-01,16136
1979-11-01,16173
1979-12-01,16180
1980-01-01,16201
1980-02-01,16226
1980-03-01,16296
1980-04-01,16583
1980-05-01,16454
1980-06-01,16441
1980-07-01,16418
1980-08-01,16410
1980-09-01,16330
1980-10-01,16386
1980-11-01,16391
1980-12-01,16373
1981-01-01,16360
1981-02-01,16346
1981-03-01,16292
1981-04-01,16260
1981-05-01,16198
1981-06-01,16159
1981-07-01,16175
1981-08-01,16110
1981-09-01,16031
1981-10-01,16069
1981-11-01,16078
1981-12-01,16073
1982-01-01,16041
1982-02-01,16011
1982-03-01,16024
1982-04-01,16010
1982-05-01,16003
1982-06-01,16016
1982-07-01,15890
1982-08-01,15930
1982-09-01,15923
1982-10-01,15956
1982-11-01,15977
1982-12-01,15981
1983-01-01,16023
1983-02-01,16004
1983-03-01,16005
1983-04-01,15990
1983-05-01,16005
1983-06-01,16020
1983-07-01,16011
1983-08-01,16016
1983-09-01,16042
1983-10-01,15986
1983-11-01,15997
1983-12-01,16008
1984-01-01,16010
1984-02-01,16025
1984-03-01,16030
1984-04-01,16075
1984-05-01,16103
1984-06-01,16127
1984-07-01,16172
1984-08-01,16224
1984-09-01,16255
1984-10-01,16274
1984-11-01,16311
1984-12-01,16282
1985-01-01,16336
1985-02-01,16349
1985-03-01,16395
1985-04-01,16430
1985-05-01,16474
1985-06-01,16498
1985-07-01,16620
1985-08-01,16619
1985-09-01,16638
1985-10-01,16654
1985-11-01,16674
1985-12-01,16694
1986-01-01,16715
1986-02-01,16759
1986-03-01,16755
1986-04-01,16765
1986-05-01,16790
1986-06-01,16779
1986-07-01,16779
1986-08-01,16800
1986-09-01,16910
1986-10-01,16969
1986-11-01,17005
1986-12-01,17021
1987-01-01,17045
1987-02-01,17036
1987-03-01,17064
1987-04-01,17109
1987-05-01,17112
1987-06-01,17124
1987-07-01,17160
1987-08-01,17172
1987-09-01,17135
1987-10-01,17269
1987-11-01,17299
1987-12-01,17347
1988-01-01,17365
1988-02-01,17389
1988-03-01,17447
1988-04-01,17452
1988-05-01,17481
1988-06-01,17515
1988-07-01,17494
1988-08-01,17544
1988-09-01,17634
1988-10-01,17670
1988-11-01,17746
1988-12-01,17736
1989-01-01,17774
1989-02-01,17812
1989-03-01,17822
1989-04-01,17840
1989-05-01,17876
1989-06-01,17912
1989-07-01,17905
1989-08-01,17989
1989-09-01,18027
1989-10-01,18033
1989-11-01,18057
1989-12-01,18075
1990-01-01,18151
1990-02-01,18177
1990-03-01,18294
1990-04-01,18377
1990-05-01,18599
1990-06-01,18556
1990-07-01,18560
1990-08-01,18457
1990-09-01,18437
1990-10-01,18443
1990-11-01,18450
1990-12-01,18468
1991-01-01,18474
1991-02-01,18482
1991-03-01,18488
1991-04-01,18485
1991-05-01,18498
1991-06-01,18561
1991-07-01,18598
1991-08-01,18567
1991-09-01,18543
1991-10-01,18593
1991-11-01,18627
1991-12-01,18641
1992-01-01,18688
1992-02-01,18689
1992-03-01,18715
1992-04-01,18739
1992-05-01,18753
1992-06-01,18762
1992-07-01,18817
1992-08-01,18883
1992-09-01,18829
1992-10-01,18828
1992-11-01,18841
1992-12-01,18878
1993-01-01,18901
1993-02-01,18902
1993-03-01,18907
1993-04-01,18938
1993-05-01,18951
1993-06-01,18969
1993-07-01,19060
1993-08-01,19028
1993-09-01,19041
1993-10-01,19042
1993-11-01,19068
1993-12-01,19109
1994-01-01,19147
1994-02-01,19150
1994-03-01,19190
1994-04-01,19223
1994-05-01,19264
1994-06-01,19274
1994-07-01,19301
1994-08-01,19306
1994-09-01,19337
1994-10-01,19344
1994-11-01,19367
1994-12-01,19388
1995-01-01,19397
1995-02-01,19407
1995-03-01,19427
1995-04-01,19434
1995-05-01,19418
1995-06-01,19445
1995-07-01,19437
1995-08-01,19429
1995-09-01,19430
1995-10-01,19464
1995-11-01,19463
1995-12-01,19466
1996-01-01,19450
1996-02-01,19485
1996-03-01,19532
1996-04-01,19515
1996-05-01,19529
1996-06-01,19528
1996-07-01,19547
1996-08-01,19504
1996-09-01,19567
1996-10-01,19554
1996-11-01,19565
1996-12-01,19571
1997-01-01,19593
1997-02-01,19598
1997-03-01,19608
1997-04-01,19603
1997-05-01,19601
1997-06-01,19660
1997-07-01,19686
1997-08-01,19617
1997-09-01,19679
1997-10-01,19738
1997-11-01,19761
1997-12-01,19766
1998-01-01,19770
1998-02-01,19786
1998-03-01,19792
1998-04-01,19816
1998-05-01,19875
1998-06-01,19879
1998-07-01,19930
1998-08-01,19959
1998-09-01,19985
1998-10-01,20001
1998-11-01,20044
1998-12-01,20079
1999-01-01,20084
1999-02-01,20144
1999-03-01,20168
1999-04-01,20237
1999-05-01,20229
1999-06-01,20272
1999-07-01,20339
1999-08-01,20375
1999-09-01,20404
1999-10-01,20457
1999-11-01,20496
1999-12-01,20540
2000-01-01,20571
2000-02-01,20599
2000-03-01,20733
2000-04-01,20802
2000-05-01,21147
2000-06-01,20887
2000-07-01,20867
2000-08-01,20837
2000-09-01,20735
2000-10-01,20743
2000-11-01,20760
2000-12-01,20804
2001-01-01,20835
2001-02-01,20906
2001-03-01,20945
2001-04-01,20992
2001-05-01,21029
2001-06-01,21137
2001-07-01,21185
2001-08-01,21218
2001-09-01,21242
2001-10-01,21275
2001-11-01,21326
2001-12-01,21355
2002-01-01,21377
2002-02-01,21390
2002-03-01,21431
2002-04-01,21443
2002-05-01,21514
2002-06-01,21549
2002-07-01,21544
2002-08-01,21589
2002-09-01,21546
2002-10-01,21559
2002-11-01,21581
2002-12-01,21588
2003-01-01,21626
2003-02-01,21624
2003-03-01,21610
2003-04-01,21595
2003-05-01,21567
2003-06-01,21606
2003-07-01,21633
2003-08-01,21556
2003-09-01,21504
2003-10-01,21558
2003-11-01,21535
2003-12-01,21546
2004-01-01,21538
2004-02-01,21550
2004-03-01,21588
2004-04-01,21614
2004-05-01,21614
2004-06-01,21601
2004-07-01,21606
2004-08-01,21626
2004-09-01,21635
2004-10-01,21656
2004-11-01,21692
2004-12-01,21693
2005-01-01,21735
2005-02-01,21744
2005-03-01,21740
2005-04-01,21754
2005-05-01,21781
2005-06-01,21763
2005-07-01,21857
2005-08-01,21863
2005-09-01,21845
2005-10-01,21829
2005-11-01,21859
2005-12-01,21879
2006-01-01,21847
2006-02-01,21878
2006-03-01,21903
2006-04-01,21919
2006-05-01,21926
2006-06-01,21922
2006-07-01,21973
2006-08-01,22011
2006-09-01,22082
2006-10-01,22068
2006-11-01,22083
2006-12-01,22088
2007-01-01,22095
2007-02-01,22131
2007-03-01,22149
2007-04-01,22175
2007-05-01,22193
2007-06-01,22207
2007-07-01,22171
2007-08-01,22226
2007-09-01,22279
2007-10-01,22297
2007-11-01,22334
2007-12-01,22376
2008-01-01,22388
2008-02-01,22417
2008-03-01,22443
2008-04-01,22450
2008-05-01,22483
2008-06-01,22517
2008-07-01,22568
2008-08-01,22567
2008-09-01,22537
2008-10-01,22549
2008-11-01,22560
2008-12-01,22556
2009-01-01,22579
2009-02-01,22576
2009-03-01,22560
2009-04-01,22677
2009-05-01,22617
2009-06-01,22576
2009-07-01,22521
2009-08-01,22537
2009-09-01,22451
2009-10-01,22524
2009-11-01,22533
2009-12-01,22482
2010-01-01,22491
2010-02-01,22476
2010-03-01,22518
2010-04-01,22569
2010-05-01,22996
2010-06-01,22740
2010-07-01,22569
2010-08-01,22420
2010-09-01,22247
2010-10-01,22297
2010-11-01,22287
2010-12-01,22266
2011-01-01,22258
2011-02-01,22215
2011-03-01,22192
2011-04-01,22184
2011-05-01,22129
2011-06-01,22164
2011-07-01,22049
2011-08-01,22017
2011-09-01,21983
2011-10-01,21998
2011-11-01,21971
2011-12-01,21954
2012-01-01,21946
2012-02-01,21947
2012-03-01,21943
2012-04-01,21931
2012-05-01,21911
2012-06-01,21930
2012-07-01,21913
2012-08-01,21916
2012-09-01,21925
2012-10-01,21903
2012-11-01,21883
2012-12-01,21887
2013-01-01,21869
2013-02-01,21881
2013-03-01,21870
2013-04-01,21869
2013-05-01,21864
2013-06-01,21840
2013-07-01,21815
2013-08-01,21831
2013-09-01,21835
2013-10-01,21830
2013-11-01,21843
2013-12-01,21820
2014-01-01,21814
2014-02-01,21825
2014-03-01,21833
2014-04-01,21853
2014-05-01,21832
2014-06-01,21895
2014-07-01,21901
2014-08-01,21855
2014-09-01,21897
2014-10-01,21917
2014-11-01,21932
2014-12-01,21947
2015-01-01,21960
2015-02-01,21978
2015-03-01,21970
2015-04-01,22005
2015-05-01,22012
2015-06-01,22015
2015-07-01,22050
2015-08-01,22060
2015-09-01,22040
2015-10-01,22056
2015-11-01,22081
2015-12-01,22097
2016-01-01,22114
2016-02-01,22138
2016-03-01,22178
2016-04-01,22184
2016-05-01,22199
2016-06-01,22180
2016-07-01,22289
2016-08-01,22284
2016-09-01,22323
2016-10-01,22295
2016-11-01,22277
2016-12-01,22304
2017-01-01,22316
2017-02-01,22326
2017-03-01,22329
2017-04-01,22335
2017-05-01,22347
2017-06-01,22360
2017-07-01,22374
2017-08-01,22310
2017-09-01,22333
2017-10-01,22361
2017-11-01,22379
2017-12-01,22384
2018-01-01,22374
2018-02-01,22419
2018-03-01,22427
2018-04-01,22444
2018-05-01,22449
2018-06-01,22482
2018-07-01,22436
2018-08-01,22468
2018-09-01,22474
2018-10-01,22479
2018-11-01,22473
2018-12-01,22511
2019-01-01,22508
2019-02-01,22525
2019-03-01,22569
2019-04-01,22619
2019-05-01,22562
2019-06-01,22604
2019-07-01,22572
2019-08-01,22625
2019-09-01,22653
2019-10-01,22670
2019-11-01,22709
2019-12-01,22726
2020-01-01,22781
2020-02-01,22857
2020-03-01,22827
2020-04-01,21909
2020-05-01,21393
2020-06-01,21412
2020-07-01,21514
2020-08-01,22000
2020-09-01,21929
2020-10-01,21805
2020-11-01,21683
2020-12-01,21678
2021-01-01,21741
2021-02-01,21754
2021-03-01,21844
2021-04-01,21893
2021-05-01,21929
2021-06-01,22031
