date,value
1970-01-01,687
1970-02-01,683
1970-03-01,681
1970-04-01,676
1970-05-01,673
1970-06-01,675
1970-07-01,673
1970-08-01,677
1970-09-01,678
1970-10-01,678
1970-11-01,678
1970-12-01,676
1971-01-01,671
1971-02-01,665
1971-03-01,663
1971-04-01,668
1971-05-01,670
1971-06-01,670
1971-07-01,652
1971-08-01,669
1971-09-01,676
1971-10-01,611
1971-11-01,615
1971-12-01,672
1972-01-01,670
1972-02-01,666
1972-03-01,668
1972-04-01,660
1972-05-01,663
1972-06-01,672
1972-07-01,667
1972-08-01,676
1972-09-01,682
1972-10-01,682
1972-11-01,681
1972-12-01,677
1973-01-01,675
1973-02-01,679
1973-03-01,680
1973-04-01,680
1973-05-01,681
1973-06-01,686
1973-07-01,692
1973-08-01,697
1973-09-01,702
1973-10-01,707
1973-11-01,714
1973-12-01,720
1974-01-01,725
1974-02-01,732
1974-03-01,732
1974-04-01,743
1974-05-01,749
1974-06-01,755
1974-07-01,761
1974-08-01,767
1974-09-01,773
1974-10-01,782
1974-11-01,785
1974-12-01,750
1975-01-01,789
1975-02-01,790
1975-03-01,793
1975-04-01,785
1975-05-01,799
1975-06-01,802
1975-07-01,802
1975-08-01,805
1975-09-01,807
1975-10-01,813
1975-11-01,813
1975-12-01,821
1976-01-01,824
1976-02-01,822
1976-03-01,825
1976-04-01,825
1976-05-01,826
1976-06-01,829
1976-07-01,837
1976-08-01,810
1976-09-01,843
1976-10-01,844
1976-11-01,847
1976-12-01,854
1977-01-01,857
1977-02-01,860
1977-03-01,872
1977-04-01,879
1977-05-01,882
1977-06-01,892
1977-07-01,866
1977-08-01,853
1977-09-01,887
1977-10-01,889
1977-11-01,894
1977-12-01,753
1978-01-01,752
1978-02-01,756
1978-03-01,772
1978-04-01,928
1978-05-01,932
1978-06-01,940
1978-07-01,946
1978-08-01,948
1978-09-01,952
1978-10-01,959
1978-11-01,968
1978-12-01,974
1979-01-01,979
1979-02-01,986
1979-03-01,993
1979-04-01,992
1979-05-01,997
1979-06-01,1004
1979-07-01,1011
1979-08-01,1019
1979-09-01,1021
1979-10-01,1028
1979-11-01,1031
1979-12-01,1039
1980-01-01,1042
1980-02-01,1050
1980-03-01,1053
1980-04-01,1061
1980-05-01,1074
1980-06-01,1083
1980-07-01,1071
1980-08-01,1069
1980-09-01,1085
1980-10-01,1095
1980-11-01,1113
1980-12-01,1127
1981-01-01,1139
1981-02-01,1148
1981-03-01,1160
1981-04-01,1026
1981-05-01,1039
1981-06-01,1190
1981-07-01,1218
1981-08-01,1232
1981-09-01,1244
1981-10-01,1247
1981-11-01,1257
1981-12-01,1256
1982-01-01,1246
1982-02-01,1249
1982-03-01,1249
1982-04-01,1230
1982-05-01,1204
1982-06-01,1183
1982-07-01,1155
1982-08-01,1131
1982-09-01,1110
1982-10-01,1086
1982-11-01,1067
1982-12-01,1050
1983-01-01,1031
1983-02-01,1006
1983-03-01,996
1983-04-01,987
1983-05-01,984
1983-06-01,983
1983-07-01,989
1983-08-01,989
1983-09-01,988
1983-10-01,1001
1983-11-01,1002
1983-12-01,1004
1984-01-01,1007
1984-02-01,1008
1984-03-01,1010
1984-04-01,1010
1984-05-01,1017
1984-06-01,1023
1984-07-01,1024
1984-08-01,1027
1984-09-01,1022
1984-10-01,1012
1984-11-01,1006
1984-12-01,998
1985-01-01,995
1985-02-01,993
1985-03-01,992
1985-04-01,994
1985-05-01,990
1985-06-01,984
1985-07-01,974
1985-08-01,967
1985-09-01,958
1985-10-01,953
1985-11-01,944
1985-12-01,938
1986-01-01,936
1986-02-01,918
1986-03-01,890
1986-04-01,861
1986-05-01,832
1986-06-01,816
1986-07-01,808
1986-08-01,793
1986-09-01,779
1986-10-01,777
1986-11-01,772
1986-12-01,766
1987-01-01,760
1987-02-01,759
1987-03-01,761
1987-04-01,764
1987-05-01,768
1987-06-01,767
1987-07-01,770
1987-08-01,774
1987-09-01,779
1987-10-01,784
1987-11-01,784
1987-12-01,783
1988-01-01,784
1988-02-01,784
1988-03-01,779
1988-04-01,779
1988-05-01,776
1988-06-01,774
1988-07-01,770
1988-08-01,767
1988-09-01,758
1988-10-01,759
1988-11-01,754
1988-12-01,752
1989-01-01,751
1989-02-01,747
1989-03-01,749
1989-04-01,750
1989-05-01,750
1989-06-01,741
1989-07-01,730
1989-08-01,754
1989-09-01,755
1989-10-01,755
1989-11-01,759
1989-12-01,759
1990-01-01,762
1990-02-01,760
1990-03-01,761
1990-04-01,766
1990-05-01,770
1990-06-01,771
1990-07-01,769
1990-08-01,765
1990-09-01,766
1990-10-01,763
1990-11-01,761
1990-12-01,760
1991-01-01,759
1991-02-01,759
1991-03-01,756
1991-04-01,752
1991-05-01,748
1991-06-01,746
1991-07-01,741
1991-08-01,735
1991-09-01,729
1991-10-01,722
1991-11-01,715
1991-12-01,710
1992-01-01,707
1992-02-01,701
1992-03-01,700
1992-04-01,698
1992-05-01,695
1992-06-01,688
1992-07-01,685
1992-08-01,681
1992-09-01,675
1992-10-01,678
1992-11-01,677
1992-12-01,676
1993-01-01,677
1993-02-01,670
1993-03-01,671
1993-04-01,669
1993-05-01,671
1993-06-01,664
1993-07-01,661
1993-08-01,656
1993-09-01,660
1993-10-01,659
1993-11-01,659
1993-12-01,673
1994-01-01,670
1994-02-01,666
1994-03-01,663
1994-04-01,661
1994-05-01,658
1994-06-01,658
1994-07-01,657
1994-08-01,656
1994-09-01,658
1994-10-01,653
1994-11-01,653
1994-12-01,652
1995-01-01,651
1995-02-01,647
1995-03-01,646
1995-04-01,644
1995-05-01,641
1995-06-01,640
1995-07-01,639
1995-08-01,638
1995-09-01,637
1995-10-01,637
1995-11-01,634
1995-12-01,635
1996-01-01,633
1996-02-01,636
1996-03-01,637
1996-04-01,638
1996-05-01,638
1996-06-01,639
1996-07-01,638
1996-08-01,637
1996-09-01,635
1996-10-01,635
1996-11-01,639
1996-12-01,640
1997-01-01,646
1997-02-01,647
1997-03-01,648
1997-04-01,652
1997-05-01,654
1997-06-01,654
1997-07-01,656
1997-08-01,654
1997-09-01,657
1997-10-01,658
1997-11-01,656
1997-12-01,659
1998-01-01,659
1998-02-01,658
1998-03-01,657
1998-04-01,654
1998-05-01,651
1998-06-01,648
1998-07-01,643
1998-08-01,642
1998-09-01,637
1998-10-01,632
1998-11-01,628
1998-12-01,627
1999-01-01,617
1999-02-01,610
1999-03-01,608
1999-04-01,602
1999-05-01,596
1999-06-01,592
1999-07-01,594
1999-08-01,594
1999-09-01,591
1999-10-01,592
1999-11-01,592
1999-12-01,593
2000-01-01,593
2000-02-01,594
2000-03-01,593
2000-04-01,596
2000-05-01,598
2000-06-01,597
2000-07-01,601
2000-08-01,600
2000-09-01,605
2000-10-01,607
2000-11-01,605
2000-12-01,601
2001-01-01,606
2001-02-01,607
2001-03-01,610
2001-04-01,609
2001-05-01,609
2001-06-01,610
2001-07-01,610
2001-08-01,608
2001-09-01,606
2001-10-01,602
2001-11-01,600
2001-12-01,597
2002-01-01,600
2002-02-01,596
2002-03-01,589
2002-04-01,587
2002-05-01,584
2002-06-01,579
2002-07-01,577
2002-08-01,576
2002-09-01,575
2002-10-01,575
2002-11-01,577
2002-12-01,577
2003-01-01,575
2003-02-01,575
2003-03-01,570
2003-04-01,566
2003-05-01,570
2003-06-01,572
2003-07-01,571
2003-08-01,570
2003-09-01,570
2003-10-01,574
2003-11-01,576
2003-12-01,575
2004-01-01,575
2004-02-01,576
2004-03-01,584
2004-04-01,586
2004-05-01,591
2004-06-01,591
2004-07-01,594
2004-08-01,595
2004-09-01,597
2004-10-01,595
2004-11-01,599
2004-12-01,602
2005-01-01,607
2005-02-01,610
2005-03-01,616
2005-04-01,620
2005-05-01,621
2005-06-01,624
2005-07-01,626
2005-08-01,630
2005-09-01,635
2005-10-01,641
2005-11-01,647
2005-12-01,651
2006-01-01,656
2006-02-01,661
2006-03-01,668
2006-04-01,678
2006-05-01,681
2006-06-01,685
2006-07-01,690
2006-08-01,692
2006-09-01,695
2006-10-01,699
2006-11-01,700
2006-12-01,704
2007-01-01,705
2007-02-01,710
2007-03-01,714
2007-04-01,720
2007-05-01,721
2007-06-01,725
2007-07-01,728
2007-08-01,728
2007-09-01,728
2007-10-01,729
2007-11-01,734
2007-12-01,739
2008-01-01,746
2008-02-01,747
2008-03-01,754
2008-04-01,755
2008-05-01,764
2008-06-01,768
2008-07-01,770
2008-08-01,780
2008-09-01,784
2008-10-01,781
2008-11-01,776
2008-12-01,770
2009-01-01,760
2009-02-01,748
2009-03-01,727
2009-04-01,710
2009-05-01,694
2009-06-01,686
2009-07-01,678
2009-08-01,669
2009-09-01,667
2009-10-01,661
2009-11-01,664
2009-12-01,663
2010-01-01,666
2010-02-01,674
2010-03-01,681
2010-04-01,687
2010-05-01,696
2010-06-01,702
2010-07-01,709
2010-08-01,716
